pop	taxon	alt	lat	long
ANN_01	annuus	6	38.56535	-121.63765
ANN_02	annuus	295	36.59499	-120.75822
ANN_03	annuus	295	36.24542	-120.31654
ANN_04	annuus	1560	34.75087	-119.07235
ANN_05	annuus	-14	33.69278	-116.18411
ANN_06	annuus	738	34.24976	-117.45148
ANN_07	annuus	2330	38.7892	-119.9363
ANN_08	annuus	1710	38.67722	-119.73895
ANN_09	annuus	1270	37.43321	-118.40646
ANN_10	annuus	1205	37.17346	-118.27904
ANN_11	annuus	1030	35.19566	-114.06666
ANN_12	annuus	2115	35.2533	-112.13355
ANN_13	annuus	1005	34.75056	-112.01697
ANN_14	annuus	1410	36.1086	-111.24184
ANN_15	annuus	1515	35.03852	-110.7351
ANN_16	annuus	2180	35.40041	-108.23557
ANN_17	annuus	2425	35.24503	-107.68594
ANN_18	annuus	1810	36.07308	-104.28873
ANN_19	annuus	2090	36.7268	-104.01913
ANN_20	annuus	2390	38.44366	-107.62928
ANN_21	annuus	1525	38.91004	-108.3738
ANN_22	annuus	1460	39.00672	-108.46384
ANN_23	annuus	1790	40.66257	-116.23876
ANN_24	annuus	1540	39.48892	-119.99511
ANN_25	annuus	480	36.79654	-114.09841
ANN_26	annuus	875	37.13733	-113.51348
ANN_27	annuus	1660	37.13137	-112.56561
ANN_28	annuus	1840	38.21652	-112.64767
ANN_29	annuus	1465	39.55006	-112.35661
ANN_30	annuus	1590	39.7148	-112.20662
ANN_31	annuus	1380	40.1781	-111.65071
ANN_32	annuus	1295	41.48524	-112.0556
ANN_33	annuus	1295	40.77115	-112.15004
ANN_34	annuus	1295	40.69149	-112.26423
ANN_35	annuus	1670	40.51274	-109.51947
ANN_36	annuus	2040	41.77426	-107.45885
ANN_37	annuus	1550	40.48679	-105.09619
ANN_38	annuus	555	38.44118	-98.63231
ANN_39	annuus	445	37.45911	-97.9179
ANN_40	annuus	555	37.23327	-98.66459
ANN_41	annuus	355	36.80874	-98.22242
ANN_42	annuus	235	32.92224	-97.36547
ANN_43	annuus	145	29.73315	-97.65574
ANN_44	annuus	215	29.05186	-99.01808
ANN_45	annuus	210	28.63085	-100.1189
ANN_46	annuus	690	33.92321	-116.86432
ANN_47	annuus	475	32.73158	-111.53769
ANN_48	annuus	1030	31.5081	-111.01274
ANN_49	annuus	1275	31.43996	-110.10544
ANN_50	annuus	1370	32.17943	-108.38541
ANN_51	annuus	1170	32.12876	-106.67373
ANN_52	annuus	1140	31.13312	-104.02012
ANN_53	annuus	880	31.03955	-103.13683
ANN_54	annuus	90	29.11355	-97.39837
ANN_55	annuus	0	28.66061	-96.58348
ANN_56	annuus	1	28.08852	-97.06011
ANN_57	annuus	0	27.63854	-97.24526
ANN_58	annuus	35	28.24166	-97.67443
ANN_59	annuus	12	26.50251	-97.77181
ANN_60	annuus	0	27.28522	-97.66729
ANN_61	annuus	20	27.77652	-97.66801
ANN_62	annuus	329	42.24842	-96.05867
ANN_63	annuus	290	41.04647	-95.82286
ANN_64	annuus	550	39.68894	-99.06605
ANN_65	annuus	709	39.82806	-99.9072
ANN_66	annuus	505	49.29649	-100.40875
ANN_67	annuus	324	40.07698	-94.86874
ANN_68	annuus	525	47.24255	-101.04321
ANN_69	annuus	549	44.50105	-100.0715
ANN_70	annuus	381	42.8228	-96.78587
ANN_71	annuus	585	49.23184	-102.9884
ARG_01	argophyllus	133	29.6465	-97.69094
ARG_02	argophyllus	125	29.43897	-97.73836
ARG_03	argophyllus	105	29.31939	-97.7441
ARG_04	argophyllus	140	29.60147	-97.70881
ARG_05	argophyllus	104	29.45132	-97.6954
ARG_06	argophyllus	100	29.27191	-97.66967
ARG_07	argophyllus	50	28.70013	-97.38772
ARG_08	argophyllus	20	28.73672	-97.03155
ARG_09	argophyllus	4	28.18143	-96.9948
ARG_10	argophyllus	7	28.10813	-97.02884
ARG_11	argophyllus	0	27.99705	-97.07636
ARG_12	argophyllus	0	27.93269	-97.12295
ARG_13	argophyllus	6	27.83272	-97.04939
ARG_14	argophyllus	7	27.8469	-97.04873
ARG_15	argophyllus	0	27.83481	-97.08834
ARG_16	argophyllus	0	27.68602	-97.17672
ARG_17	argophyllus	3	27.61823	-97.21178
ARG_18	argophyllus	3	27.47822	-97.28085
ARG_19	argophyllus	0	27.57942	-97.2215
ARG_20	argophyllus	4	27.6611	-97.31138
ARG_21	argophyllus	8	28.12154	-97.39245
ARG_22	argophyllus	13	28.27849	-97.29757
ARG_23	argophyllus	35	26.8902	-98.13698
ARG_24	argophyllus	11	26.92402	-97.79218
ARG_25	argophyllus	5	27.15959	-97.79411
ARG_26	argophyllus	0	27.27342	-97.80311
ARG_27	argophyllus	35	27.14245	-98.14997
ARG_28	argophyllus	40	27.00215	-98.13579
ARG_29	argophyllus	35	27.10014	-98.14704
ARG_30	argophyllus	30	27.25741	-97.94589
PET_01	petiolaris fallax	2140	35.1371	-111.64211
PET_02	petiolaris fallax	1445	34.91703	-111.90977
PET_03	petiolaris fallax	2075	35.33119	-111.54146
PET_04	petiolaris fallax	2166	35.39031	-111.57754
PET_05	petiolaris fallax	1755	35.15387	-109.50207
PET_06	petiolaris fallax	2110	35.51651	-105.68484
PET_07	petiolaris fallax	1795	36.49673	-104.57014
PET_08	petiolaris fallax	2545	37.52901	-105.297
PET_09	petiolaris fallax	2325	37.66278	-105.64088
PET_10	petiolaris fallax	2460	38.47747	-106.08848
PET_11	petiolaris fallax	2295	38.48952	-107.03795
PET_12	petiolaris fallax	1570	36.90004	-112.91885
PET_13	petiolaris fallax	1805	37.23794	-112.85064
PET_14	petiolaris petiolaris	2140	40.55035	-109.91641
PET_15	petiolaris petiolaris	2240	40.69709	-105.61168
PET_16	petiolaris petiolaris	1415	40.38047	-104.52282
PET_17	petiolaris petiolaris	1510	40.15158	-104.60307
PET_18	petiolaris petiolaris	1595	39.9137	-104.61456
PET_19	petiolaris petiolaris	1720	39.63705	-104.33484
PET_20	petiolaris petiolaris	585	38.3336	-98.83812
PET_21	petiolaris petiolaris	570	38.33349	-98.69159
PET_22	petiolaris petiolaris	465	38.56505	-97.96174
PET_23	petiolaris petiolaris	404	37.676	-97.40646
PET_24	petiolaris petiolaris	415	37.37939	-97.8877
PET_25	petiolaris petiolaris	415	36.83371	-98.6481
PET_26	petiolaris petiolaris	465	36.56341	-98.88941
PET_27	petiolaris petiolaris	470	36.558	-98.89537
PET_28	petiolaris petiolaris	350	36.79928	-98.24968
PET_29	petiolaris petiolaris	480	36.9134	-99.23544
PET_30	petiolaris petiolaris	660	36.40753	-99.55589
PET_31	petiolaris petiolaris	900	35.19473	-100.72366
PET_32	petiolaris fallax	1475	31.74298	-110.68913
PET_33	petiolaris fallax	1440	31.47593	-110.25758
PET_34	petiolaris fallax	1315	31.38092	-110.06893
PET_35	petiolaris fallax	1345	31.68887	-109.1337
PET_36	niveus	1300	32.19631	-107.68668
PET_37	niveus	1250	31.8201	-107.38806
PET_38	niveus	1265	31.79005	-107.20421
PET_39	niveus	1265	31.81152	-106.68289
PET_40	niveus	1200	31.9985	-106.58418
PET_41	niveus	1345	32.24206	-107.06309
PET_42	niveus	1350	32.26828	-106.95863
PET_43	petiolaris fallax	1615	32.42618	-106.54787
PET_44	niveus	1070	31.15031	-105.68665
PET_45	niveus	1210	31.05622	-104.57134
PET_46	petiolaris fallax	765	31.43995	-102.87508
PET_47	petiolaris fallax	840	31.63659	-102.81704
PET_48	petiolaris fallax	840	31.71853	-103.03201
PET_49	petiolaris fallax	925	31.95354	-102.97878
PET_50	petiolaris fallax	905	32.50941	-102.04615
