sample	EV1	EV2	cluster
ARG0001	-0.02203596560872896	0.03223072835513137	0
ARG0002	-0.020078207553137828	0.0890807140680363	0
ARG0003	-0.019458078592965375	0.09949087548711812	0
ARG0004	-0.020750638266621796	0.057936906259241736	0
ARG0005	-0.01933745419213146	0.08439842254993919	0
ARG0006	-0.0198017482844628	0.08918348677250246	0
ARG0007	-0.02100672188794036	0.05866426478116858	0
ARG0008	-0.020395406251534604	0.11413877859796195	0
ARG0009	-0.020265789735482757	0.11176177072199049	0
ARG0010	-0.00730556890944694	0.05601522732998324	0
ARG0011	-0.020506824811480473	0.03347273430694153	0
ARG0012	-0.020909749821615066	0.057880472425554455	0
ARG0013	-0.01907932269727585	0.049982152495845256	0
ARG0014	-0.019675264863192626	0.07104514670539373	0
ARG0015	-0.022059761887354732	0.041801967151041994	0
ARG0016	-0.021024730081725406	0.07172314387645587	0
ARG0017	-0.02078474649397314	0.06756137561265445	0
ARG0018	-0.021718278938801946	0.06009816349521067	0
ARG0019	-0.02009901608998156	0.05597529005236539	0
ARG0020	-0.021694348155816924	0.04375185865024264	0
ARG0021	-0.02082352084213224	0.13238107244702932	0
ARG0022	-0.022667437137245235	0.0443988230278739	0
ARG0023	-0.021860773037172848	0.03508697301128354	0
ARG0024	-0.020348190828823318	0.06384510477687473	0
ARG0025	-0.020069239045171213	0.13298278360582974	0
ARG0026	-0.02098301872841681	0.12814376073599335	0
ARG0027	-0.021904672656350092	0.0837964787849115	0
ARG0028	-0.020793265733556485	0.10439777707599798	0
ARG0029	-0.020733095888791537	0.11544437574260909	0
ARG0030	-0.02299030726497695	0.048839918832663184	0
ARG0031	-0.021906988847763223	0.09342623974810799	0
ARG0032	-0.021036356154248505	0.08584777714891152	0
ARG0033	-0.020811337807447455	0.11728922743668302	0
ARG0034	-0.020888418229211426	0.08652827470082108	0
ARG0035	-0.021287392107557323	0.08341681536386694	0
ARG0036	-0.02154569546013335	0.1559316435375944	0
ARG0037	-0.021854573197645173	0.08473101878889427	0
