species	height	height_HPD95_lower	height_HPD95_upper	sv_name
annuus	0.015808	0.01549	0.016122	ann01.01
annuus	0.016807	0.0166603	0.017019	ann05.01
annuus	0.015574	0.015365	0.015789	ann11.01
annuus	0.011115	0.010936	0.011276	ann13.01
annuus	0.017177	0.016963	0.017402	ann13.02
annuus	0.014751	0.014561	0.014948	ann14.01
annuus	0.015584	0.015142	0.01601	ann14.02
annuus	0.012131	0.011928	0.012325	ann15.01
annuus	0.015979	0.015872	0.016192	ann16.01
annuus	0.014591	0.014349	0.014823	ann16.02
annuus	0.01681	0.016535	0.017098	ann17.01
argophyllus	0.01304	0.012805	0.013257	arg03.01
argophyllus	0.014812	0.014432	0.015173	arg03.02
argophyllus	0.013862	0.013564	0.014147	arg06.01
argophyllus	0.01369	0.012997	0.014353	arg06.02
argophyllus	0.007729	0.007575	0.007886	arg10.01
argophyllus	0.016419	0.015631	0.017333	arg16.01
petiolaris	0.015754	0.015529	0.015989	pet01.01
petiolaris	0.016953	0.016727	0.017189	pet05.01
petiolaris	0.01714	0.01693	0.017362	pet06.01
petiolaris	0.016303	0.016101	0.016515	pet06.02
petiolaris	0.01345	0.013043	0.013871	pet06.03
petiolaris	0.017774	0.017501	0.018027	pet07.01
petiolaris	0.013913	0.01365	0.014193	pet08.01
petiolaris	0.019525	0.019299	0.019739	pet09.01
petiolaris	0.0161	0.015882	0.016339	pet10.01
petiolaris	0.018461	0.018225	0.018691	pet11.01
petiolaris	0.016519	0.016239	0.016785	pet12.01
petiolaris	0.010495	0.009225	0.011878	pet13.01
petiolaris	0.017129	0.016915	0.017335	pet14.01
petiolaris	0.018116	0.017908	0.018325	pet14.02
petiolaris	0.01681	0.016516	0.017102	pet16.01
petiolaris	0.015772	0.015556	0.015993	pet16.02
petiolaris	0.018111	0.017897	0.018333	pet17.01
petiolaris	0.017151	0.016863	0.017425	pet17.02
petiolaris	0.01418	0.01399	0.014373	pet17.03
petiolaris	0.011535	0.011306	0.01178	pet17.04
