pop	lat	long	SV	0	1	2	sv_name
ARG_01	29.6465	-97.69094	Ha412HOChr03.pos1	0	5	5	arg03.01
ARG_02	29.43897	-97.73836	Ha412HOChr03.pos1	0	1	9	arg03.01
ARG_03	29.31939	-97.7441	Ha412HOChr03.pos1	1	3	6	arg03.01
ARG_04	29.60147	-97.70881	Ha412HOChr03.pos1	1	4	5	arg03.01
ARG_05	29.45132	-97.6954	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_06	29.27191	-97.66967	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_07	28.70013	-97.38772	Ha412HOChr03.pos1	2	5	3	arg03.01
ARG_08	28.73672	-97.03155	Ha412HOChr03.pos1	0	7	3	arg03.01
ARG_09	28.18143	-96.9948	Ha412HOChr03.pos1	0	2	8	arg03.01
ARG_10	28.10813	-97.02884	Ha412HOChr03.pos1	1	5	4	arg03.01
ARG_11	27.99705	-97.07636	Ha412HOChr03.pos1	0	1	9	arg03.01
ARG_12	27.93269	-97.12295	Ha412HOChr03.pos1	0	2	8	arg03.01
ARG_13	27.83272	-97.04939	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_14	27.8469	-97.04873	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_15	27.83481	-97.08834	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_16	27.68602	-97.17672	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_17	27.61823	-97.21178	Ha412HOChr03.pos1	1	0	8	arg03.01
ARG_18	27.47822	-97.28085	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_19	27.57942	-97.2215	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_20	27.6611	-97.31138	Ha412HOChr03.pos1	0	1	9	arg03.01
ARG_21	28.12154	-97.39245	Ha412HOChr03.pos1	2	3	5	arg03.01
ARG_22	28.27849	-97.29757	Ha412HOChr03.pos1	1	3	6	arg03.01
ARG_23	26.8902	-98.13698	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_24	26.92402	-97.79218	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_25	27.15959	-97.79411	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_26	27.27342	-97.80311	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_27	27.14245	-98.14997	Ha412HOChr03.pos1	0	0	10	arg03.01
ARG_28	27.00215	-98.13579	Ha412HOChr03.pos1	0	2	8	arg03.01
ARG_29	27.10014	-98.14704	Ha412HOChr03.pos1	0	1	9	arg03.01
ARG_30	27.25741	-97.94589	Ha412HOChr03.pos1	0	1	9	arg03.01
