chr	start	end	species
Ha412HOChr01	6199548	9699260	Annuus
Ha412HOChr05	148181142	177442806	Annuus
Ha412HOChr11	19370443	53975915	Annuus
Ha412HOChr13	8646123	109475871	Annuus
Ha412HOChr13	139223259	157756098	Annuus
Ha412HOChr14	101455802	129356206	Annuus
Ha412HOChr14	129356233	133235392	Annuus
Ha412HOChr14	133459531	134701278	Annuus
Ha412HOChr14	135046321	135377910	Annuus
Ha412HOChr15	103772702	176634307	Annuus
Ha412HOChr16	10542720	23486443	Annuus
Ha412HOChr16	147445328	159006308	Annuus
Ha412HOChr17	188468191	197519081	Annuus
Ha412HOChr03	42210710	42457211	Argophyllus
Ha412HOChr03	43315730	44156163	Argophyllus
Ha412HOChr03	44521626	78204102	Argophyllus
Ha412HOChr03	78867692	80067728	Argophyllus
Ha412HOChr03	80123927	83317909	Argophyllus
Ha412HOChr03	87571939	89113195	Argophyllus
Ha412HOChr03	98713561	98761502	Argophyllus
Ha412HOChr03	28583609	42210629	Argophyllus
Ha412HOChr06	130156472	153317127	Argophyllus
Ha412HOChr06	153577387	154165841	Argophyllus
Ha412HOChr06	154632762	154682381	Argophyllus
Ha412HOChr06	154786258	155011244	Argophyllus
Ha412HOChr06	155018155	155128857	Argophyllus
Ha412HOChr06	125435746	130156455	Argophyllus
Ha412HOChr10	161242043	190205715	Argophyllus
Ha412HOChr10	190279711	190295665	Argophyllus
Ha412HOChr10	190339415	190694486	Argophyllus
Ha412HOChr16	202452179	204242807	Argophyllus
Ha412HOChr16	204537714	204629966	Argophyllus
Ha412HOChr16	205197484	205209334	Argophyllus
Ha412HOChr01	180352	12609141	Petiolaris
Ha412HOChr01	90815284	98571815	Petiolaris
Ha412HOChr05	154541712	154721601	Petiolaris
Ha412HOChr05	154853148	156440507	Petiolaris
Ha412HOChr05	156841528	179857212	Petiolaris
Ha412HOChr05	180691185	181000239	Petiolaris
Ha412HOChr05	182105712	185834275	Petiolaris
Ha412HOChr06	56219803	78749603	Petiolaris
Ha412HOChr06	19377671	56046922	Petiolaris
Ha412HOChr06	8592837	10582776	Petiolaris
Ha412HOChr07	116413080	130545045	Petiolaris
Ha412HOChr08	86786672	94581640	Petiolaris
Ha412HOChr09	105305324	123481124	Petiolaris
Ha412HOChr09	128805928	140852908	Petiolaris
Ha412HOChr10	293669	299675	Petiolaris
Ha412HOChr10	384092	499852	Petiolaris
Ha412HOChr10	1235691	1268588	Petiolaris
Ha412HOChr10	1716092	1776585	Petiolaris
Ha412HOChr10	1845471	14398715	Petiolaris
Ha412HOChr11	3320576	65747566	Petiolaris
Ha412HOChr12	89671701	95073326	Petiolaris
Ha412HOChr12	98049349	98177109	Petiolaris
Ha412HOChr12	100451519	111696502	Petiolaris
Ha412HOChr12	155860790	164385696	Petiolaris
Ha412HOChr13	147947071	149109754	Petiolaris
Ha412HOChr14	98475810	171068709	Petiolaris
Ha412HOChr14	135376473	144002322	Petiolaris
Ha412HOChr16	6481680	10666924	Petiolaris
Ha412HOChr16	6566825	23262121	Petiolaris
Ha412HOChr16	206419062	210181068	Petiolaris
Ha412HOChr16	212077689	212145071	Petiolaris
Ha412HOChr16	214469811	215512235	Petiolaris
Ha412HOChr16	215796657	215824755	Petiolaris
Ha412HOChr16	216448563	216569957	Petiolaris
Ha412HOChr16	216654211	217103619	Petiolaris
Ha412HOChr16	217608231	217617390	Petiolaris
Ha412HOChr16	218176281	218224144	Petiolaris
Ha412HOChr16	34379628	45760629	Petiolaris
Ha412HOChr16	69141022	69300799	Petiolaris
Ha412HOChr16	90030717	90927508	Petiolaris
Ha412HOChr16	108631478	112509280	Petiolaris
Ha412HOChr16	118370912	118376238	Petiolaris
Ha412HOChr16	118617269	122506810	Petiolaris
Ha412HOChr16	123753242	123760902	Petiolaris
Ha412HOChr16	137513538	147855628	Petiolaris
Ha412HOChr17	11688320	22678243	Petiolaris
Ha412HOChr17	39484071	68196212	Petiolaris
Ha412HOChr17	188458401	203655689	Petiolaris
Ha412HOChr17	203677179	203718262	Petiolaris
Ha412HOChr17	203770587	203775207	Petiolaris
Ha412HOChr17	204176880	204410173	Petiolaris
Ha412HOChr17	204714679	204747520	Petiolaris
Ha412HOChr17	194134669	203768215	Petiolaris
Ha412HOChr17	204279632	204409363	Petiolaris
Ha412HOChr17	204693877	204751769	Petiolaris
Ha412HOChr05	20939289	22018520	Niveus
Ha412HOChr06	33117053	35902044	Niveus
Ha412HOChr07	118751618	120644569	Niveus
Ha412HOChr08	132265009	140673849	Niveus
Ha412HOChr10	28953514	30717434	Niveus
Ha412HOChr15	5965344	5975572	Niveus
Ha412HOChr15	18177505	50849323	Niveus
Ha412HOChr15	78248653	155222079	Niveus
Ha412HOChr15	171575373	176990035	Niveus
Ha412HOChr17	186804315	197517893	Niveus
Ha412HOChr17	203653382	203736091	Niveus
Ha412HOChr17	204696413	205491115	Niveus
