map marker HA412_chr HA412_pos other_map_chr other_map_pos haploblock
petmap1 HanXRQChr17_197428428 A12 92806639 P17 62.9185168427599 0
petmap1 HanXRQChr12_89051622 A12 94550067 P17 63.8035650190328 0
petmap1 HanXRQChr12_89051643 A12 94550088 P17 63.8035650190328 0
petmap1 HanXRQChr12_103641099 A12 108938366 P17 64.9525306733065 0
petmap1 HanXRQChr12_90422402 A12 102185728 P17 66.3444537828919 0
petmap1 HanXRQChr12_103641161 A12 108938304 P17 67.513315711957 0
petmap1 HanXRQChr12_74475335 A12 111240486 P17 67.513315711957 0
petmap1 HanXRQChr12_76289912 A12 110709709 P17 67.513315711957 0
petmap1 HanXRQChr12_113389112 A12 159090642 P17 68.3983638882299 0
petmap1 HanXRQChr11_27365152 A12 160008460 P17 69.2834120645028 0
petmap1 HanXRQChr12_127320324 A12 162574029 P17 70.9401417402297 0
petmap1 HanXRQChr12_130139525 A12 124940899 P17 72.375909136261 1
petmap1 HanXRQChr12_118868777 A12 149863590 P17 72.375909136261 1
petmap1 HanXRQChr12_147052357 A12 134648467 P17 72.375909136261 1
petmap1 HanXRQChr12_150647148 A12 121872325 P17 72.6748835195735 1
petmap1 HanXRQChr12_8599118 A12 127340207 P17 73.3789932756447 1
petmap1 HanXRQChr12_112587103 A12 158336641 P17 68.3983638882299 0
petmap1 HanXRQChr12_112587286 A12 158336458 P17 68.3983638882299 0
petmap1 HanXRQChr11_149530244 A12 110179394 P17 67.513315711957 0
petmap1 HanXRQChr12_89027136 A12 94228501 P17 63.8035650190328 0
petmap1 HanXRQChr12_88596141 A12 93816479 P17 63.8035650190328 0
petmap1 HanXRQChr03_16225334 A12 150764587 P17 72.375909136261 1
petmap1 HanXRQChr05_28927219 A12 112276371 P17 72.375909136261 1
petmap1 HanXRQChr12_118868705 A12 149863518 P17 72.375909136261 1
petmap1 HanXRQChr12_118868706 A12 149863519 P17 72.375909136261 1
petmap1 HanXRQChr05_28927085 A12 112276505 P17 72.375909136261 1
petmap1 HanXRQChr05_28927088 A12 112276502 P17 72.375909136261 1
petmap1 HanXRQChr05_28927272 A12 112276318 P17 72.375909136261 1
petmap1 HanXRQChr05_28927303 A12 112276287 P17 72.375909136261 1
petmap1 HanXRQChr05_28927369 A12 112276221 P17 72.375909136261 1
petmap1 HanXRQChr05_28927370 A12 112276220 P17 72.375909136261 1
petmap1 HanXRQChr12_111291877 A12 154617640 P17 72.375909136261 1
petmap1 HanXRQChr11_149530220 A12 110179370 P17 67.513315711957 0
petmap1 HanXRQChr12_74475376 A12 111240445 P17 67.513315711957 0
petmap1 HanXRQChr11_149530247 A12 110179397 P17 67.513315711957 0
petmap1 HanXRQChr12_88596122 A12 93816460 P17 62.9185168427599 0
petmap1 HanXRQChr12_89170373 A12 94372969 P17 62.9185168427599 0
petmap1 HanXRQChr12_89170397 A12 94372945 P17 62.9185168427599 0
petmap1 HanXRQChr12_89026833 A12 94228198 P17 63.8035650190328 0
petmap1 HanXRQChr12_89026876 A12 94228241 P17 63.8035650190328 0
petmap1 HanXRQChr17_197366977 A12 92867002 P17 63.8035650190328 0
petmap1 HanXRQChr12_89170396 A12 94372946 P17 63.8035650190328 0
petmap1 HanXRQChr12_89170414 A12 94372928 P17 63.8035650190328 0
petmap1 HanXRQChr12_89170441 A12 94372901 P17 63.8035650190328 0
petmap1 HanXRQChr15_84345519 A12 90802144 P17 63.8035650190328 0
petmap1 HanXRQChr12_90422416 A12 102185714 P17 66.3444537828919 0
petmap1 HanXRQChr12_90422453 A12 102185677 P17 66.3444537828919 0
petmap1 HanXRQChr12_101931320 A12 102391307 P17 67.513315711957 0
petmap1 HanXRQChr12_101931328 A12 102391299 P17 67.513315711957 0
petmap1 HanXRQChr12_116496593 A12 156068407 P17 67.513315711957 0
petmap1 HanXRQChr12_116496600 A12 156068400 P17 67.513315711957 0
petmap1 HanXRQChr12_116496627 A12 156068373 P17 67.513315711957 0
petmap1 HanXRQChr12_116496659 A12 156068341 P17 67.513315711957 0
petmap1 HanXRQChr12_116496864 A12 156068136 P17 67.513315711957 0
petmap1 HanXRQChr12_116496878 A12 156068122 P17 67.513315711957 0
petmap1 HanXRQChr12_76289938 A12 110709683 P17 67.513315711957 0
petmap1 HanXRQChr12_76289940 A12 110709681 P17 67.513315711957 0
petmap1 HanXRQChr12_103641100 A12 108938365 P17 64.9525306733065 0
petmap1 HanXRQChr12_103641214 A12 108938251 P17 67.513315711957 0
petmap1 HanXRQChr12_115373892 A12 155399385 P17 67.513315711957 1
petmap1 HanXRQChr12_115373911 A12 155399366 P17 67.513315711957 1
